"Fire_State","Fire_Name","Site_Name","X","Y"
"CA","Caldor","Cal1",-2054771.55648546,2014596.49235801
"CA","Caldor","Cal2",-2059474.60765734,2014228.3203762
"CA","Caldor","Cal3",-2076235.76971286,2016976.42669343
"CA","Caldor","Cal4",-2098974.86121539,2004109.02982893
"CA","Caldor","Cal5",-2076264.50700276,2016662.09381797
"CA","Caldor","Cal6",-2094410.92532467,2012621.57057519
"CA","Caldor","Cal7",-2053753.45075426,2008432.28977824
"CA","Caldor","Cal8",-2072893.71190115,2014182.41862199
"CA","Caldor","Cal9",-2064712.57011198,2014806.76505818
"CA","Caldor","Cal10",-2090193.36860088,2013273.6578608
"CA","Caldor","Cal11",-2056226.30663953,2014684.87473517
"CA","Caldor","Cal12",-2054021.11366989,2012694.97282056
"CA","Caldor","Cal13",-2065944.49436427,2015801.97644815
"CA","Caldor","Cal14",-2052782.71161233,2016262.42587386
"CA","Caldor","Cal15",-2073779.39356264,2013451.18204074
"CA","Caldor","Cal16",-2085706.12313043,2011654.61028638
"CA","Caldor","Cal17",-2093092.03488797,2000680.41171605
"CA","Caldor","Cal18",-2039473.66254496,2016918.78704918
"CA","Caldor","Cal19",-2087930.4813507,2010304.91673858
"CA","Caldor","Cal20",-2089268.07924183,2008976.60360526
"CA","Dixie","Dix1",-2067377.49343003,2167049.65805923
"CA","Dixie","Dix2",-2066674.29651306,2181060.32392228
"CA","Dixie","Dix3",-2120228.36109884,2159907.26629626
"CA","Dixie","Dix4",-2103565.74922632,2175038.05997255
"CA","Dixie","Dix5",-2103863.10900473,2174907.03526548
"CA","Dixie","Dix6",-2105012.27040667,2161891.93274542
"CA","Dixie","Dix7",-2093304.46372031,2175127.34988119
"CA","Dixie","Dix8",-2104138.47063161,2178243.37673918
"CA","Dixie","Dix9",-2091109.75538716,2166947.27326299
"CA","Dixie","Dix10",-2097585.07306331,2228833.77552689
"CA","Dixie","Dix11",-2108241.0197455,2171190.09082334
"CA","Dixie","Dix12",-2117963.17599654,2163310.61275952
"CA","Dixie","Dix13",-2100984.71388072,2178005.43683591
"CA","Dixie","Dix14",-2119799.83008435,2160052.6213507
"CA","Dixie","Dix15",-2117161.27357023,2162392.47719773
"CA","Dixie","Dix16",-2108384.50889684,2175309.13872114
"CA","Dixie","Dix17",-2112473.33742596,2163241.63421328
"CA","Dixie","Dix18",-2104447.33783348,2164641.59251897
"CA","Dixie","Dix19",-2115619.00565214,2164145.63665143
"CA","Dixie","Dix20",-2070554.40311319,2165397.02534328
"CA","KNP","KNP1",-2008097.77397708,1748379.57510346
"CA","KNP","KNP2",-1999433.78775953,1734653.67470559
"CA","KNP","KNP3",-2003967.19610297,1740089.3315485
"CA","KNP","KNP4",-2005253.2200249,1737291.3198328
"CA","KNP","KNP5",-2004159.85282656,1736799.97040719
"CA","KNP","KNP6",-2007997.84436428,1757262.95201306
"CA","KNP","KNP7",-2006285.18794023,1751715.37932769
"CA","KNP","KNP8",-2006962.68428903,1752605.53145619
"CA","KNP","KNP9",-2008439.91061607,1755189.77484668
"CA","KNP","KNP10",-2000595.81160029,1727895.52594786
"CA","KNP","KNP11",-2004400.92616224,1746384.17826281
"CA","KNP","KNP12",-1997779.31591721,1735927.32542558
"CA","KNP","KNP13",-2009797.91485068,1747812.71156082
"CA","KNP","KNP14",-1997876.43964866,1733579.72223521
"CA","KNP","KNP15",-2006277.79939165,1735150.08909904
"CA","KNP","KNP16",-2005897.36309451,1741384.88840489
"CA","KNP","KNP17",-1998420.14654021,1736713.77592426
"CA","KNP","KNP18",-2000837.26021829,1740968.69731996
"CA","KNP","KNP19",-2001102.34505079,1731636.8071482
"CA","KNP","KNP20",-2006523.39649261,1735009.35098618
"WA","CedarCreek","Ced1",-1798540.96812728,3065625.25019571
"WA","CedarCreek","Ced2",-1805263.38631294,3063338.05404144
"WA","CedarCreek","Ced3",-1795543.16668392,3058000.08755059
"WA","CedarCreek","Ced4",-1801369.49075207,3067595.3903346
"WA","CedarCreek","Ced5",-1802938.26475449,3069665.68669453
"WA","CedarCreek","Ced6",-1806849.66512618,3075152.66827245
"WA","CedarCreek","Ced7",-1803261.69547,3074257.93414502
