"Fire_State","Fire_Name","Site_Name","X","Y"
"CA","Caldor","Cal1",-2092673.30847063,2012526.32602543
"CA","Caldor","Cal2",-2074928.90324047,2015014.38756314
"CA","Caldor","Cal3",-2101083.27952427,2011124.93180978
"CA","Caldor","Cal4",-2100416.1224477,2011435.28729531
"CA","Caldor","Cal5",-2074759.63033174,2015640.69418196
"CA","Caldor","Cal6",-2075386.57488857,2016016.39341557
"CA","Caldor","Cal7",-2098329.25622541,2003310.3847158
"CA","Caldor","Cal8",-2057076.5313766,2004308.200984
"CA","Caldor","Cal9",-2066489.14890918,2014713.85553717
"CA","Caldor","Cal10",-2059714.51536711,2014264.25905998
"CA","Caldor","Cal11",-2095488.06496448,2001547.89451344
"CA","Caldor","Cal12",-2089726.25143367,2008326.70530973
"CA","Caldor","Cal13",-2091636.21260985,2004763.59534226
"CA","Caldor","Cal14",-2093811.90627526,2012794.79520953
"CA","Caldor","Cal15",-2049372.47119354,2016384.27955311
"CA","Caldor","Cal16",-2077732.47698146,2012870.35681132
"CA","Caldor","Cal17",-2090827.1477973,2009498.79837225
"CA","Caldor","Cal18",-2096967.75982731,2001308.27072543
"CA","Caldor","Cal19",-2100412.55535687,2005754.49191296
"CA","Caldor","Cal20",-2098265.58668489,2002967.44830297
"CA","Dixie","Dix1",-2104657.85792507,2165060.51243772
"CA","Dixie","Dix2",-2103208.56688913,2174263.47825141
"CA","Dixie","Dix3",-2101340.66965316,2177587.77277303
"CA","Dixie","Dix4",-2108996.8458554,2171661.90265517
"CA","Dixie","Dix5",-2113991.58819222,2163657.8980043
"CA","Dixie","Dix6",-2089331.72163121,2171202.24866034
"CA","Dixie","Dix7",-2094224.64133232,2179358.12843912
"CA","Dixie","Dix8",-2088301.52838526,2169257.16998088
"CA","Dixie","Dix9",-2093427.47024419,2177656.28081344
"CA","Dixie","Dix10",-2039716.47100746,2172823.99080439
"CA","Dixie","Dix11",-2093218.16445612,2229335.47628142
"CA","Dixie","Dix12",-2095903.32839864,2181326.945579
"CA","Dixie","Dix13",-2105149.9704465,2171242.55724306
"CA","Dixie","Dix14",-2085268.78508551,2165962.87425127
"CA","Dixie","Dix15",-2102910.93888842,2183808.55600178
"CA","Dixie","Dix16",-2074849.6893978,2176303.68479284
"CA","Dixie","Dix17",-2075390.81194405,2173968.52358689
"CA","Dixie","Dix18",-2103625.1084029,2174717.31212789
"CA","Dixie","Dix19",-2094709.44887764,2175544.44196643
"CA","Dixie","Dix20",-2103029.64178783,2170247.99485954
"CA","KNP","KNP1",-1999183.38093339,1737301.44662216
"CA","KNP","KNP2",-2001917.50352487,1740841.62802235
"CA","KNP","KNP3",-1998742.868037,1736623.10072501
