"Fire_State","Fire_Name","Site_Name","Severity_Class","Homogeneity_Class","X","Y","Fire_Date"
"CA","Caldor","Caldor1","high","homogeneous",-2070645,2002335,"2021-08-30"
"CA","Caldor","Caldor2","high","homogeneous",-2083905,2006445,"2021-08-18"
"CA","Caldor","Caldor3","high","homogeneous",-2066505,2009865,"2021-08-24"
"CA","Caldor","Caldor4","high","heterogeneous",-2086815,1999065,"2021-08-18"
"CA","Caldor","Caldor5","high","heterogeneous",-2091315,2005365,"2021-08-17"
"CA","Caldor","Caldor6","high","heterogeneous",-2071095,2002575,"2021-08-30"
"CA","Caldor","Caldor7","moderate","homogeneous",-2064255,2002185,"2021-08-30"
"CA","Caldor","Caldor8","moderate","homogeneous",-2088675,2001975,"2021-08-18"
"CA","Caldor","Caldor9","moderate","homogeneous",-2068485,2000625,"2021-08-30"
"CA","Caldor","Caldor10","moderate","heterogeneous",-2090475,1999335,"2021-08-17"
"CA","Caldor","Caldor11","moderate","heterogeneous",-2091735,2001945,"2021-08-17"
"CA","Caldor","Caldor12","moderate","heterogeneous",-2071845,2012775,"2021-08-24"
"CA","Caldor","Caldor13","low","homogeneous",-2094465,2003775,"2021-08-24"
"CA","Caldor","Caldor14","low","homogeneous",-2082975,1997715,"2021-08-24"
"CA","Caldor","Caldor15","low","homogeneous",-2059035,2013855,"2021-08-26"
"CA","Caldor","Caldor16","low","heterogeneous",-2065815,2003835,"2021-08-30"
"CA","Caldor","Caldor17","low","heterogeneous",-2070105,2004165,"2021-08-30"
"CA","Caldor","Caldor18","low","heterogeneous",-2058675,2003955,NA
"CA","Dixie","Dixie1","high","homogeneous",-2058195,2153775,"2021-08-31"
"CA","Dixie","Dixie2","high","homogeneous",-2083185,2176695,"2021-08-05"
"CA","Dixie","Dixie3","high","homogeneous",-2106225,2238825,"2021-09-09"
"CA","Dixie","Dixie4","high","heterogeneous",-2079855,2162115,"2021-07-31"
"CA","Dixie","Dixie5","high","heterogeneous",-2095155,2203635,"2021-08-15"
"CA","Dixie","Dixie6","high","heterogeneous",-2072355,2159895,"2021-08-25"
"CA","Dixie","Dixie7","moderate","homogeneous",-2114115,2178915,"2021-07-21"
"CA","Dixie","Dixie8","moderate","homogeneous",-2066385,2185455,"2021-08-08"
"CA","Dixie","Dixie9","moderate","homogeneous",-2105655,2178465,"2021-07-21"
"CA","Dixie","Dixie10","moderate","heterogeneous",-2059995,2147445,"2021-09-01"
"CA","Dixie","Dixie11","moderate","heterogeneous",-2033385,2155575,"2021-09-07"
"CA","Dixie","Dixie12","moderate","heterogeneous",-2109015,2178825,"2021-07-22"
"CA","Dixie","Dixie13","low","homogeneous",-2080455,2160825,"2021-07-28"
"CA","Dixie","Dixie14","low","homogeneous",-2103255,2228445,"2021-08-26"
"CA","Dixie","Dixie15","low","homogeneous",-2069115,2183955,"2021-08-08"
"CA","Dixie","Dixie16","low","heterogeneous",-2103705,2221605,"2021-08-17"
"CA","Dixie","Dixie17","low","heterogeneous",-2042115,2149875,"2021-09-04"
"CA","Dixie","Dixie18","low","heterogeneous",-2107395,2183505,"2021-07-22"
"CA","KNP","KNP1","high","homogeneous",-2007705,1757805,"2021-10-04"
"CA","KNP","KNP2","high","homogeneous",-2008395,1754535,"2021-10-03"
"CA","KNP","KNP3","high","homogeneous",-2010735,1754235,"2021-10-02"
"CA","KNP","KNP4","high","heterogeneous",-2008065,1744605,"2021-09-23"
"CA","KNP","KNP5","high","heterogeneous",-2000325,1744155,"2021-09-18"
"CA","KNP","KNP6","high","heterogeneous",-1999695,1746855,"2021-09-18"
"CA","KNP","KNP7","moderate","homogeneous",-1999485,1733955,"2021-09-13"
"CA","KNP","KNP8","moderate","homogeneous",-2002995,1734765,"2021-09-15"
"CA","KNP","KNP9","moderate","homogeneous",-2008155,1743555,"2021-09-25"
"CA","KNP","KNP10","moderate","heterogeneous",-2003565,1747035,"2021-09-22"
"CA","KNP","KNP11","moderate","heterogeneous",-2009985,1751475,"2021-10-01"
"CA","KNP","KNP12","moderate","heterogeneous",-1998165,1735125,"2021-09-13"
"CA","KNP","KNP13","low","homogeneous",-2009235,1749045,"2021-09-25"
"CA","KNP","KNP14","low","homogeneous",-2005425,1743435,"2021-09-18"
"CA","KNP","KNP15","low","homogeneous",-1998915,1735545,NA
"CA","KNP","KNP16","low","heterogeneous",-2002005,1743945,"2021-09-17"
"CA","KNP","KNP17","low","heterogeneous",-1994655,1735545,"2021-10-02"
"CA","KNP","KNP18","low","heterogeneous",-1995945,1748805,"2021-09-25"
"WA","CedarCreek","CedarCreek1","high","homogeneous",-1806135,3064125,"2021-08-03"
"WA","CedarCreek","CedarCreek2","high","homogeneous",-1800555,3070485,"2021-07-21"
"WA","CedarCreek","CedarCreek3","high","homogeneous",-1795575,3058995,"2021-08-01"
"WA","CedarCreek","CedarCreek4","high","heterogeneous",-1796115,3058275,"2021-08-01"
"WA","CedarCreek","CedarCreek5","high","heterogeneous",-1805115,3063195,"2021-08-01"
"WA","CedarCreek","CedarCreek6","high","heterogeneous",-1798005,3067335,"2021-07-22"
"WA","CedarCreek","CedarCreek7","moderate","homogeneous",-1801455,3067245,"2021-07-27"
"WA","CedarCreek","CedarCreek8","moderate","homogeneous",-1799955,3064545,"2021-07-27"
"WA","CedarCreek","CedarCreek9","moderate","homogeneous",-1799955,3071595,"2021-07-21"
"WA","CedarCreek","CedarCreek10","moderate","heterogeneous",-1808715,3073965,"2021-07-21"
"WA","CedarCreek","CedarCreek11","moderate","heterogeneous",-1799175,3070485,"2021-07-21"
"WA","CedarCreek","CedarCreek12","moderate","heterogeneous",-1805925,3072975,"2021-07-19"
"WA","CedarCreek","CedarCreek13","low","homogeneous",-1809765,3076035,"2021-07-29"
"WA","CedarCreek","CedarCreek14","low","homogeneous",-1797765,3063735,"2021-07-27"
"WA","CedarCreek","CedarCreek15","low","homogeneous",-1803735,3075735,"2021-07-22"
"WA","CedarCreek","CedarCreek16","low","heterogeneous",-1802475,3064665,"2021-08-01"
"WA","CedarCreek","CedarCreek17","low","heterogeneous",-1798575,3060375,"2021-07-29"
"WA","CedarCreek","CedarCreek18","low","heterogeneous",-1804155,3073365,"2021-07-19"
"WA","CubCreek2","CubCreek21","high","homogeneous",-1781595,3081885,"2021-07-20"
"WA","CubCreek2","CubCreek22","high","homogeneous",-1777785,3075075,"2021-07-20"
"WA","CubCreek2","CubCreek23","high","homogeneous",-1776135,3077775,"2021-07-20"
"WA","CubCreek2","CubCreek24","high","heterogeneous",-1779015,3088635,"2021-08-12"
"WA","CubCreek2","CubCreek25","high","heterogeneous",-1780815,3084585,"2021-07-20"
