"dNBR","severity","slope","mass_burnt_pct","surface_consumption","canopy_consumption","max_power","residence_time_power","residence_time_consumption","max_reaction_rate","size","site","fire"
448,3,32.5013809204102,0,0,0,0,0,0,0,500,"American","Caldor"
324,2,15.9329481124878,0,0,0,0,0,0,0,500,"American","Caldor"
590,3,13.9044151306152,0,0,0,0,0,0,0,500,"American","Caldor"
406,3,14.8102407455444,0,0,0,0,0,0,0,500,"American","Caldor"
433,3,17.1236228942871,0,0,0,0,0,0,0,500,"American","Caldor"
501,3,20.7831859588623,11.1301095979449,0.268584365893362,0.273582890635977,320.787663777669,249.135555555556,264.066666666667,0.00582558321840351,500,"American","Caldor"
461,3,23.5880069732666,34.5192505461345,0.71577876830784,0.72724589793322,852.571988186306,848.693333333333,939.466666666667,0.0169645904818677,500,"American","Caldor"
424,3,27.8183155059814,46.6438481966654,0.894513496301758,0.906076025797779,1058.15147528754,1409.85333333333,1566.2,0.0217800355951927,500,"American","Caldor"
441,3,28.7344627380371,46.9135643619961,0.894683168199327,0.904477709478233,1052.26101182726,1912.24666666667,2039.33333333333,0.0233311753316908,500,"American","Caldor"
520,3,24.3254566192627,55.3712244382469,0.894461925606674,0.906170943952967,1047.19554351478,2361.70752688172,2469.61290322581,0.0235119592308582,500,"American","Caldor"
585,3,25.5395221710205,61.3153862481476,0.89434838913286,0.906387884958687,1044.25921276462,2447.18494623656,2572.32258064516,0.0216163511271055,500,"American","Caldor"
637,3,27.8932514190674,60.0625846068064,0.894428838276459,0.903695570646216,1059.59132880317,2089.35555555556,2214.73333333333,0.0219815621032942,500,"American","Caldor"
559,3,28.6733741760254,56.2741059441037,0.894344604642441,0.90313448070833,1072.9660035536,1926.28,2082.93333333333,0.0217197133753153,500,"American","Caldor"
581,3,30.0143871307373,52.6131728055742,0.894112115070586,0.903594972062856,1092.926769477,1922.19111111111,2093.46666666667,0.0218693204875527,500,"American","Caldor"
942,4,31.3449859619141,48.9722555282381,0.894255349723777,0.905588427066234,1136.25491767036,1416.70888888889,1634.53333333333,0.0221889383154754,500,"American","Caldor"
760,3,32.623966217041,45.6915874963337,0.89475689439905,0.908955711141332,1151.46945448134,942.131111111111,1239.33333333333,0.023249538452268,500,"American","Caldor"
577,3,32.950080871582,47.8200971131855,0.794481679364625,0.809973044441496,1008.86158677843,777.624444444444,1057.26666666667,0.0218871342969603,500,"American","Caldor"
364,2,37.1235427856445,30.458113005956,0.401943666349269,0.410837426289864,501.965247124566,433.344444444444,591.333333333333,0.0109457153016087,500,"American","Caldor"
412,3,41.264232635498,5.95784167872535,0.0549131270754151,0.0560988645739336,65.0106393771701,76.1311111111111,109.466666666667,0.00151899839755465,500,"American","Caldor"
661,3,41.6204566955566,0,0,0,0,0,0,0,500,"American","Caldor"
630,3,21.4562129974365,0,0,0,0,0,0,0,500,"American","Caldor"
522,3,15.211109161377,0,0,0,0,0,0,0,500,"American","Caldor"
390,3,15.0574741363525,0,0,0,0,0,0,0,500,"American","Caldor"
317,2,16.274055480957,0,0,0,0,0,0,0,500,"American","Caldor"
423,3,20.1637077331543,2.85423646080101,0.0428806959890709,0.0436350814840342,52.2594692314996,63.5955555555556,70.6,0.00106785672745547,500,"American","Caldor"
388,3,22.0846786499023,19.7332299904637,0.3870562239779,0.394053436553934,471.140266587999,497.762222222222,568.866666666667,0.00945754434767214,500,"American","Caldor"
485,3,23.8658390045166,41.1000510405684,0.791544605118171,0.806258899797556,958.720067715115,1065.24555555556,1246.76666666667,0.0197441652214458,500,"American","Caldor"
615,3,26.3216342926025,47.347580388652,0.894729555711642,0.909110663768758,1075.89637518989,1366.36444444444,1581.93333333333,0.0221745925120581,500,"American","Caldor"
456,3,27.3278408050537,43.7913305083911,0.894766799232327,0.905723795330333,1072.05542744954,1669.15111111111,1834.53333333333,0.0231524400364862,500,"American","Caldor"
586,3,27.5202732086182,50.0351828759716,0.894621398427489,0.905874391101421,1067.76468433667,1998.59892473118,2164.83870967742,0.0230067109526929,500,"American","Caldor"
649,3,28.2550582885742,58.5284504157241,0.894345192878848,0.905261302932406,1062.480763622,2189.67849462366,2358.32258064516,0.0215514331503662,500,"American","Caldor"
723,3,29.38307762146,59.3329390350978,0.894127563737824,0.903493358316676,1068.03617926704,2169.37444444444,2339.53333333333,0.0221179897668192,500,"American","Caldor"
547,3,29.9052600860596,53.9178270430035,0.894034649011705,0.902098722746078,1080.50769639757,2040.56333333333,2242.06666666667,0.0217053380407239,500,"American","Caldor"
498,3,32.2685585021973,50.9626516429583,0.894180104487265,0.900975193037884,1110.94416924371,1786.68888888889,1974.7,0.0217333005328169,500,"American","Caldor"
781,3,33.0176429748535,54.5368084918128,0.894489551067559,0.904714935011127,1161.85937561035,1282.52,1511.93333333333,0.0227581659896925,500,"American","Caldor"
786,3,30.3522605895996,53.2132898788982,0.851735835471449,0.866169699418307,1131.67419033474,865.52,1185.53333333333,0.0227201264053673,500,"American","Caldor"
475,3,32.7267379760742,45.2849451309898,0.656219329229142,0.669930273850138,863.990363701714,644.797777777778,941.033333333333,0.0180550087352969,500,"American","Caldor"
447,3,35.0001411437988,22.6508050366036,0.27927749739934,0.285975264969359,358.746487765842,315.677777777778,451.033333333333,0.00753513332274025,500,"American","Caldor"
509,3,38.5360488891602,2.97892083936267,0.0274565635377076,0.0280494322869668,32.5053196885851,38.0655555555556,54.7333333333333,0.000759499198777323,500,"American","Caldor"
643,3,42.4114379882812,0,0,0,0,0,0,0,500,"American","Caldor"
760,3,21.2262439727783,0,0,0,0,0,0,0,500,"American","Caldor"
681,3,18.1487236022949,0,0,0,0,0,0,0,500,"American","Caldor"
299,2,20.2037334442139,0,0,0,0,0,0,0,500,"American","Caldor"
383,3,20.8985195159912,4.6017956951377,0.0775085769507051,0.0781947186457304,93.3781781005859,116.627777777778,133.733333333333,0.00201984104428208,500,"American","Caldor"
364,2,21.3516387939453,16.5953680342314,0.335326342781126,0.338796333695063,417.236779615614,510.406666666667,576.566666666667,0.00862230270028947,500,"American","Caldor"
424,3,23.7099723815918,35.2809971157803,0.691462666912832,0.70111587385854,863.628966640896,1048.02444444444,1190.16666666667,0.0181624303711587,500,"American","Caldor"
462,3,25.9166107177734,44.9285676303175,0.881157132128331,0.896676170288249,1093.66102552626,1313.64222222222,1545.93333333333,0.0227041749844129,500,"American","Caldor"
541,3,26.9090824127197,42.416490928332,0.8948995327815,0.909316272828599,1103.93577365451,1321.86777777778,1591.76666666667,0.0226410173363391,500,"American","Caldor"
475,3,30.3787403106689,40.8586016212569,0.894832866050613,0.903797516289891,1103.13312771267,1419.07444444444,1619.53333333333,0.0232753967925214,500,"American","Caldor"
664,3,32.658031463623,45.2119801318774,0.894630676617981,0.903496328000385,1104.83299068328,1557.69892473118,1745.90322580645,0.0234469959862003,500,"American","Caldor"
564,3,31.7751483917236,52.6443723322243,0.894314845184725,0.903220508396075,1099.48303170153,1751.11397849462,1930.90322580645,0.022582002127413,500,"American","Caldor"
654,3,31.7093925476074,54.7490548536513,0.894047604410055,0.902003269405622,1097.88030612522,1948.85777777778,2122.2,0.0220485464606726,500,"American","Caldor"
709,3,31.6222591400146,51.5413057046466,0.893863015110449,0.901611681600463,1111.92838534885,1822.06111111111,2034.6,0.0220191186693141,500,"American","Caldor"
677,3,32.6621856689453,50.9022485971451,0.894212696010687,0.899731167281926,1152.99565578885,1443.51,1632.5,0.0224524187540383,500,"American","Caldor"
603,3,29.3071994781494,58.8541873222258,0.868266421583636,0.877360899060861,1196.79332451714,1051.77111111111,1332.86666666667,0.0229035458115845,500,"American","Caldor"
879,4,23.8858375549316,52.7755396826234,0.664584493149951,0.675797167346399,955.506752726237,655.402222222222,988.9,0.0179467774783011,500,"American","Caldor"
700,3,29.5564346313477,30.050537823567,0.330892255581243,0.337773339366152,481.355364922418,352.403333333333,551.333333333333,0.00891170706424851,500,"American","Caldor"
547,3,36.4876441955566,9.78257987060067,0.0872961038719707,0.0895724573427449,131.254083658854,134.931111111111,192.733333333333,0.00227138759016551,500,"American","Caldor"
533,3,38.4013519287109,0,0,0,0,0,0,0,500,"American","Caldor"
627,3,38.7461700439453,0,0,0,0,0,0,0,500,"American","Caldor"
833,4,23.1562423706055,0,0,0,0,0,0,0,500,"American","Caldor"
273,2,21.9703388214111,0,0,0,0,0,0,0,500,"American","Caldor"
360,2,22.420955657959,3.89753808458646,0.0806947205941348,0.0818545977482831,94.747359246148,126.295555555556,135.666666666667,0.00190743440802837,500,"American","Caldor"
489,3,22.6357879638672,19.8037533830719,0.381938897840575,0.385634424805046,464.307172139486,625.743333333333,678.1,0.00921871340746874,500,"American","Caldor"
485,3,23.2202625274658,35.7296456704322,0.739917911905278,0.74669817839775,925.396281670464,1186.99333333333,1315.06666666667,0.0185261477537674,500,"American","Caldor"
440,3,25.1558513641357,43.4570580499702,0.886171607480824,0.897274127856751,1119.62942803277,1369.18,1568.7,0.0230778342678343,500,"American","Caldor"
430,3,25.1551780700684,43.2809027849303,0.894913206831035,0.909019642558803,1127.3308452691,1324.99777777778,1587.86666666667,0.0226455093058654,500,"American","Caldor"
431,3,26.5573310852051,37.0990119417508,0.89474895456172,0.907254653186408,1124.84585361057,1293.00888888889,1584.43333333333,0.0225726739247733,500,"American","Caldor"
458,3,30.4195404052734,38.5878420962228,0.894724773007005,0.901598310757092,1123.93123867459,1369.67555555556,1585.76666666667,0.0232642400392411,500,"American","Caldor"
504,3,29.6484336853027,42.4206025231269,0.894399416042111,0.899303730762869,1127.63071046234,1432.99247311828,1592.38709677419,0.0234646297032827,500,"American","Caldor"
513,3,29.6673393249512,42.1498217733957,0.894067261160492,0.898987133566025,1131.92921825122,1487.80752688172,1632.61290322581,0.0228617074843508,500,"American","Caldor"
520,3,31.1105480194092,41.7970839087168,0.894097646066738,0.898934850420855,1138.84999701606,1544.94666666667,1697.63333333333,0.0216101546060694,500,"American","Caldor"
735,3,31.4099445343018,50.1445155647066,0.894116935100303,0.9032620573049,1154.31610168457,1428.51222222222,1627.6,0.0220307880811394,500,"American","Caldor"
851,4,29.9775142669678,58.1596067841848,0.894280023238389,0.904460458245465,1175.61990912543,1199.52555555556,1427.23333333333,0.0232252575884982,500,"American","Caldor"
930,4,26.6754169464111,58.8069218307289,0.785493980279555,0.795800079867089,1118.05441772461,908.275555555556,1286.26666666667,0.0209160743546011,500,"American","Caldor"
953,4,16.3128700256348,36.6930687532543,0.404753661868033,0.411726422489931,629.975280558268,434.05,730.766666666667,0.0106761213526189,500,"American","Caldor"
881,4,16.5599460601807,18.8586773370537,0.12259420380449,0.126027906326474,249.451113891602,232.115555555556,307.5,0.00328221911454522,500,"American","Caldor"
701,3,31.4908924102783,12.8802390246921,0.0596582622670879,0.0622615757699694,154.152889268663,177.226666666667,211.733333333333,0.00166692342297514,500,"American","Caldor"
634,3,36.716796875,0.863585251702203,0.00353654851257387,0.00361289025077389,9.71138020833333,10.1733333333333,11.3,9.8285139279647e-05,500,"American","Caldor"
951,4,36.4256210327148,0,0,0,0,0,0,0,500,"American","Caldor"
363,2,22.4321002960205,0,0,0,0,0,0,0,500,"American","Caldor"
365,2,24.3107204437256,5.10029316703478,0.0985532235583135,0.0993827882632225,116.712644551595,136.668333333333,155.9,0.00240288181170323,500,"American","Caldor"
418,3,25.0559997558594,20.5634883905782,0.366160816947878,0.370456218070014,445.966220533583,594.041111111111,660.466666666667,0.00919222329050828,500,"American","Caldor"
393,3,25.0014724731445,40.2654466558827,0.747927254936399,0.755206763511006,922.966756490072,1259.01,1394.36666666667,0.0187199796812093,500,"American","Caldor"
429,3,26.1745548248291,44.6358325235049,0.894847511937195,0.902834202769704,1124.51201666938,1456.60777777778,1632.26666666667,0.0224747963513604,500,"American","Caldor"
494,3,26.6977348327637,43.7897252082825,0.894764615274423,0.904417776605373,1143.02577162001,1344.84,1566.63333333333,0.0223052023075795,500,"American","Caldor"
431,3,25.8874645233154,42.4114198215803,0.894738209506807,0.907888071996212,1150.84642978244,1263.69888888889,1552.66666666667,0.0222975266880985,500,"American","Caldor"
469,3,25.7858905792236,38.7774519986577,0.894546205798656,0.909043807157367,1154.4592106798,1214.50333333333,1545.26666666667,0.0231599321080854,500,"American","Caldor"
480,3,28.7552585601807,36.7367005923059,0.894424550975673,0.9034530167248,1153.85297932943,1254.55333333333,1524.46666666667,0.0233507934529792,500,"American","Caldor"
456,3,30.0885562896729,38.4974359863548,0.894229615695765,0.897300860070704,1158.10435640068,1341.23870967742,1510.12903225806,0.022384189805756,500,"American","Caldor"
507,3,33.0922088623047,36.906182140176,0.893933578334894,0.895556733231761,1163.8748972903,1374.29569892473,1508.03225806452,0.0219621550495707,500,"American","Caldor"
436,3,34.488956451416,39.5134845222367,0.893973100399081,0.896504774188571,1157.60876444499,1399.77666666667,1588.73333333333,0.0216787374601823,500,"American","Caldor"
470,3,33.5320472717285,55.6175155337652,0.894193533493801,0.903108375688187,1147.25494276259,1311.46111111111,1575.43333333333,0.0218807956952926,500,"American","Caldor"
911,4,29.9207496643066,66.1204148014387,0.894297031544201,0.914380181742858,1163.79717956543,1097.2,1466.23333333333,0.023543132974673,500,"American","Caldor"
711,3,16.8867778778076,61.4110333936237,0.756323867079078,0.777771700699555,1054.52159193251,828.935555555556,1370.66666666667,0.0205025282552216,500,"American","Caldor"
483,3,7.45600366592407,36.2000611118103,0.392662874944896,0.404427759731576,602.752328152127,442.185555555556,854.1,0.0105813159176618,500,"American","Caldor"
743,3,14.9846534729004,29.1829137569138,0.22391277051492,0.231785363731,461.897383558485,398.672222222222,579.133333333333,0.0064259509096658,500,"American","Caldor"
636,3,25.1266422271729,23.6708634991116,0.154601801478744,0.159514450138021,356.640713806152,328.148888888889,410.4,0.00458756522012007,500,"American","Caldor"
1042,4,29.8628158569336,2.82303487088945,0.014179678232823,0.014256019971023,34.2446976386176,34.6477777777778,36.7333333333333,0.000489274815578635,500,"American","Caldor"
1121,4,30.5289134979248,0,0,0,0,0,0,0,500,"American","Caldor"
322,2,25.0703811645508,0,0,0,0,0,0,0,500,"American","Caldor"
279,2,24.5152111053467,14.5549162803742,0.31466349777591,0.317759453031079,377.599188028971,448.433333333333,519.9,0.00774621054742081,500,"American","Caldor"
428,3,26.1413288116455,33.691391950624,0.65328291559372,0.659226795050911,805.295217013889,1035.58,1177.56666666667,0.0164895791518943,500,"American","Caldor"
460,3,28.8123207092285,45.8712033255895,0.890931572797579,0.897792380774627,1118.14164442274,1459.97555555556,1651.3,0.0229902267970069,500,"American","Caldor"
621,3,28.6920585632324,43.464572092957,0.894649191783586,0.901917868426277,1142.00615722656,1382.23222222222,1565.5,0.0227346216191999,500,"American","Caldor"
582,3,28.0712146759033,41.5428194202317,0.894402932031856,0.901956405908439,1170.21756788466,1235.52666666667,1424.53333333333,0.0221129692153243,500,"American","Caldor"
431,3,28.492847442627,39.2662668980492,0.894460219916267,0.903897721650363,1196.02691141764,1137.12444444444,1398.2,0.0217270722578538,500,"American","Caldor"
492,3,30.0763072967529,41.5386603456073,0.894470305276207,0.909132499105633,1211.18752990723,1116.72666666667,1488.63333333333,0.0223594756479185,500,"American","Caldor"
540,3,30.3428573608398,40.5023271563318,0.89421825073349,0.906166193707872,1213.04278143989,1139.45666666667,1481.86666666667,0.0232022192806274,500,"American","Caldor"
429,3,30.3527145385742,40.8532802017786,0.894050892200246,0.900946251582104,1195.98859797652,1210.77311827957,1462.12903225806,0.0227138377742109,500,"American","Caldor"
388,3,34.4152374267578,42.3429502994783,0.894151021045838,0.899711521522152,1162.85221708564,1269.35913978495,1478.29032258065,0.0236151159090278,500,"American","Caldor"
367,2,36.4756965637207,48.311001001464,0.866963685111583,0.873524787090848,1119.02711161296,1269.33333333333,1512.9,0.0221759097325806,500,"American","Caldor"
435,3,32.8128433227539,58.0136688716544,0.840834727793829,0.852601435453139,1090.68101718479,1162,1483.3,0.0202911384499341,500,"American","Caldor"
