,Fire,Site,Height,Initial,Final
0,Caldor,Cal1,1,418.8065775037976,253.08413354260847
1,Caldor,Cal1,2,598.2987982505001,350.0898996425094
2,Caldor,Cal1,3,767.2834528575186,472.6289465537993
3,Caldor,Cal1,4,847.1851695361547,487.9113071413012
4,Caldor,Cal1,5,1034.2013676940696,642.1225212541176
5,Caldor,Cal1,6,1386.7949768527178,930.2636909309076
6,Caldor,Cal1,7,1740.8722154644784,1194.7732591651147
7,Caldor,Cal1,8,2363.108545470517,1703.348307011067
8,Caldor,Cal1,9,2739.203974409378,2047.350806320901
9,Caldor,Cal1,10,3279.218477003742,2484.187934499816
10,Caldor,Cal1,11,4207.48597664421,3245.6634855825687
11,Caldor,Cal1,12,4505.328734865296,3634.3622975775506
12,Caldor,Cal1,13,4935.014761775616,4115.315883434494
13,Caldor,Cal1,14,7243.135227390798,6229.099777986645
14,Caldor,Cal1,15,8069.792220866308,7063.98968356743
15,Caldor,Cal1,16,8382.622260147706,7555.117657489027
16,Caldor,Cal1,17,9328.705144477775,8649.721836413722
17,Caldor,Cal1,18,10054.27108085563,9579.08236221224
18,Caldor,Cal1,19,10581.774821160594,10302.127574042068
19,Caldor,Cal1,20,10790.568365638494,10659.409609618247
20,Caldor,Cal1,21,12615.177018063492,12547.701038831729
21,Caldor,Cal1,22,13058.278296065051,13005.888915948919
22,Caldor,Cal1,23,13030.846679932205,13001.755845629377
23,Caldor,Cal1,24,13575.499596876325,13548.468517390429
24,Caldor,Cal1,25,14107.325606278144,14087.986920272466
25,Caldor,Cal1,26,14170.366723465733,14157.463686164818
26,Caldor,Cal1,27,13800.477688162471,13786.082998126978
27,Caldor,Cal1,28,13957.815982038504,13951.519499851856
28,Caldor,Cal1,29,13902.855333513347,13895.937747854856
29,Caldor,Cal1,30,14182.417455801158,14179.221682807663
30,Caldor,Cal1,31,14209.353364386596,14206.681725435657
31,Caldor,Cal1,32,13316.32869390701,13313.365568872192
32,Caldor,Cal1,33,13079.149897787487,13077.599054835038
33,Caldor,Cal1,34,12856.747612229316,12856.588729082607
34,Caldor,Cal1,35,11399.705166906933,11398.74362693238
35,Caldor,Cal1,36,11039.90812050167,11038.901605433668
36,Caldor,Cal1,37,10474.754873978207,10474.754873978207
37,Caldor,Cal1,38,9878.566873140167,9878.566873140167
38,Caldor,Cal1,39,9487.839033849072,9487.839033849072
39,Caldor,Cal1,40,8298.124002470635,8298.124002470635
40,Caldor,Cal1,41,7311.467898466275,7311.467898466275
41,Caldor,Cal1,42,6750.345164949424,6750.345164949424
42,Caldor,Cal1,43,6252.041335205315,6252.041335205315
43,Caldor,Cal1,44,5489.642506063799,5489.642506063799
44,Caldor,Cal1,45,4981.849690004834,4981.849690004834
45,Caldor,Cal1,46,4046.474412266747,4046.474412266747
46,Caldor,Cal1,47,3649.477144064498,3649.477144064498
47,Caldor,Cal1,48,2891.940049879253,2891.940049879253
48,Caldor,Cal1,49,2589.026103046257,2589.026103046257
49,Caldor,Cal1,50,2377.864704156993,2377.864704156993
50,Caldor,Cal1,51,2364.4409030626994,2364.4409030626994
51,Caldor,Cal1,52,2165.680773094995,2165.680773094995
52,Caldor,Cal1,53,2208.5620704949833,2208.5620704949833
53,Caldor,Cal1,54,2057.8722688335693,2057.8722688335693
54,Caldor,Cal1,55,1181.7559009315446,1181.7559009315446
55,Caldor,Cal1,56,1191.566137192538,1191.566137192538
56,Caldor,Cal1,57,1137.2301514127757,1137.2301514127757
57,Caldor,Cal1,58,1171.7320350229274,1171.7320350229274
58,Caldor,Cal1,59,1080.443946381798,1080.443946381798
59,Caldor,Cal1,60,1057.5528148036683,1057.5528148036683
60,Caldor,Cal1,61,591.5654013333842,591.5654013333842
61,Caldor,Cal1,62,580.1264791423455,580.1264791423455
62,Caldor,Cal1,63,0.0,0.0
63,Caldor,Cal1,64,0.0,0.0
64,Caldor,Cal1,65,0.0,0.0
65,Caldor,Cal1,66,0.0,0.0
66,Caldor,Cal1,67,0.0,0.0
67,Caldor,Cal1,68,0.0,0.0
68,Caldor,Cal1,69,0.0,0.0
69,Caldor,Cal1,70,0.0,0.0
70,Caldor,Cal1,71,0.0,0.0
71,Caldor,Cal1,72,0.0,0.0
72,Caldor,Cal1,73,0.0,0.0
73,Caldor,Cal1,74,0.0,0.0
74,Caldor,Cal1,75,0.0,0.0
75,Caldor,Cal1,76,0.0,0.0
76,Caldor,Cal1,77,0.0,0.0
77,Caldor,Cal1,78,0.0,0.0
78,Caldor,Cal1,79,0.0,0.0
79,Caldor,Cal1,80,0.0,0.0
80,Caldor,Cal1,81,0.0,0.0
81,Caldor,Cal1,82,0.0,0.0
82,Caldor,Cal1,83,0.0,0.0
83,Caldor,Cal1,84,0.0,0.0
84,Caldor,Cal2,1,343.5526080469135,43.43040545040276
85,Caldor,Cal2,2,961.2095986953937,165.38392638403457
86,Caldor,Cal2,3,1305.0015839359257,257.9550664238632
87,Caldor,Cal2,4,1874.1812185479794,392.6739757487085
88,Caldor,Cal2,5,2549.6690414150944,511.47874600370415
89,Caldor,Cal2,6,3341.0938106719404,720.891757807578
90,Caldor,Cal2,7,3879.0321074075764,875.831246082671
91,Caldor,Cal2,8,5090.609926928184,1254.6299311851617
92,Caldor,Cal2,9,5102.135524612153,1490.126717954874
93,Caldor,Cal2,10,5130.755620928248,1882.2432025715243
94,Caldor,Cal2,11,5682.158772849361,2491.648498749477
95,Caldor,Cal2,12,5666.963629331905,2940.864282235387
96,Caldor,Cal2,13,5311.750082512968,3142.478474566946
97,Caldor,Cal2,14,5232.47553852573,3438.968206219026
98,Caldor,Cal2,15,5635.205641691457,4225.414140701294
99,Caldor,Cal2,16,5900.34011578036,4828.325384829193
100,Caldor,Cal2,17,6087.433348340099,5280.337069049478
101,Caldor,Cal2,18,6703.235840168782,6087.964896728285
102,Caldor,Cal2,19,6815.026649263804,6370.748821853893
103,Caldor,Cal2,20,7126.57916556776,6863.806012576912
104,Caldor,Cal2,21,7154.442680297652,6970.112415723619
105,Caldor,Cal2,22,8126.118825362995,7989.297267256072
106,Caldor,Cal2,23,8123.657093101763,8036.34771782055
107,Caldor,Cal2,24,8235.812131685088,8200.820853263023
108,Caldor,Cal2,25,8512.281664894777,8492.253637466813
109,Caldor,Cal2,26,8519.242499898188,8509.85195504548
110,Caldor,Cal2,27,8647.171413527452,8638.906146350084
111,Caldor,Cal2,28,8410.130307795014,8404.80669018114
112,Caldor,Cal2,29,8564.29303501686,8561.333696029615
